score,positive,negative,text
5,,,спасибо все супер и качество супер
4,На вид хорошие,бывает с браком,Доставили быстро. Но из 6шт. одна была треснута
5,,,А цена за комплект или за одну??
5,,,"Все отлично, все подошло."
5,,,ідеально підійшло
5,,Немає наконечників на тому місця де потрібно з'єднювати дугу з палаткою.,"Найоптимальніший варіант для ремонту старих дуг, чи їх заміни."
5,,,"Спасибо,очень быстро"
5,Прочный,Нет,Несколько лет искал.
5,,,Рекомендую! Палатка отличная.
5,,,Клас)))
5,Очень удобно,Ноги на бампере получается,"Палатка крутая, давно искали такую. Плюс раскладушку можно поставить."
5,Форма и материал.,Нет,"Хорошие колыши, добротные и качествинные."
4,хорошо фиксируются,болезненно запихиваются в песок),"брал для палатки https://rozetka.com.ua/sol_tourist_slt_004_06/p213704/Часто разбиваю ее на песке, в месте с сильным прерывистым ветром. Ясно, оригинальные шпильки не выдерживали, взял им в помощь эти колышки. С ними палатка хорошо стояла, на четырех растяжках выдержала штормовой ветер (конечно, периодически колышки приходилось подтягивать заново). Единственно что -- у колышков нет плоской шапки, приходилось вдавливать их в песок, упираясь ладошкой прямиком в их Y образный хвост. Местами было неприятненько))"
5,"Все, дизайн, прочность",Нет,"Все прекрасно.. НО не подходят к палатке tramp scout 3.. Они просто шире, не влазят. Будьте осторожны!)"
5,Хорошее изделие,,"не плохо бы к ним в комплект мешочек с завязочкой, для хранения и транспортировки было-бы удобнее."
5,,,будет ли еще этот товар в наличии?? ели да то когда ?
4,Достаточно удобный и крепкий. Выдержал шторм на Арабатке 29 июля.,"Прилично выгорел за две недели на солнце. Неудачно вшита оборка возле змейки. Даже при правильной установке и растяжке тента постоянно закусывает змейку. Кармашки внутри декоративные, из них все вываливается.",Нормальный тент.
4,"Великий тамбур з прозорим вікном.Висока, неважко збирати. Не промокає, ""дихає"", антимоскітні сітки в ""дверях,вікнах"".","При послідній зборці розслоївся один сегмент фібергласового каркасу,замотав ізолентою. Виробники (продавці)? не можуть визначитись з місткістю 3 чи 4 людини. Якщо з надувним матрасом то двоє + дитина. Вхід у внутрішню палатку збоку від спальних місць, приходиться перелазити через сплячих! Це реально обмежує місткість навіть без матраса.","Моя перша сучасна палатка, порівнювати нема з чим-радянські ""рядом не стояли"".Купував не тут. Користуюсь 3 роки,1-2 раза на сезон. Коли перший раз склав, захвату не було меж! Вона здоровенна! Здоровенна- це висока, в середині не потрібно нагинатись. Конструктивно це тент на зовнішному каркасі, до якого з середини підвішена на швидкознімальних кліпсах внутрішня, (дихаюча) палатка. Збираю сам, неважко, не довго. В середині надуваю двохспальний матрас і комфорт забезпечено! В тамбурі на випадок дощу поміщається круглий пластиковий стіл, два пластикові крісла, дрова,рюкзаки... ВСЕ! І ще, ВЕЛИКЕ ПЛАСТИКОВЕ ВІКНО!"
5,,,"Пользуюсь палаткой с 2008 года, доволен как слон, воду не пропускает, сутки сидели под дождем, к ветру тоже устойчива, собирается быстро."
5,очень продуманная палатка,ломкие фиберглассовые элементы карткаса,"Лет 8 назад купил эту палатку. Очень хорошая во всем, по-прежнему считаю свой выбор лучшим из аналогов. Но пару лет назад начали дружно ломать фиберглассовые элементы каркаса. Уже штук 10 пришлось клеить и усиливать скотчем. Советую не дожидаясь их поломок усилить, обмотав плотно скотчем. А вообще, палатка хороша. Мы с женой вдвоем ставим ее за 10 минут. Да, еще - колышки силовых растяжек в пляжном песке при ветре нужны помощнее."
5,Якість виробу,не виявив,"Намет купляв для сімї, і у виборі зовсім не помилився і не розчарований. Варіант для сімї просто іделальний, при необхідності в тамбурі ще трьох можна помістити..."
5,"Удобная, отличное качество.",,"Очень довольны палаткой. Просто летний мини домик, кстати в тамбуре легко поместится еще несколько человек."
5,Мне эта палатка понравилась на все 100 качеством доволен.,Пока не обнаружил,Всем доволен
4,"Устойчива к непогоде, высокие потолки","Сложность (относительная) установки, не очень комфортный тамбур","Одному ставить тяжело , но можно, главное чтоб стихия не бушевала :). Палатку нужно возить на машине и ставить стационарно на весь срок путешествия. Если путешествуешь динамично, то там то сям нужно искать чтото полегче. Зато в ливень бурю ураган - более или менее спокойно себя чуствуешь, дети даже не просыпаются. И карячится не нужно при переодевании например и вообще. потолок высокий, спокойно ходишь внутри. Проверено в карпатах и на десне. :)"
5,"Бред не бред, а палатка отличная в сухую погоду, в дощь ещё не пробовал будет повод попробую. Цена супер",Шла без колышек которые как бы преднозначены,"Скажу так, спало в такой палатке 2 взрослых человека комплекции 65 и 90 кг и ещё поместился б один комплекции в кило 50 спокойно, так что палатка на свою цену классная ещё возьму себе но позже.Советую как постоянно путешествующий кто б что не говорил."
5,"подходит для зимы и лета, цена, получил с колышками, внутри вполне могут поместиться 2 человека","маловатый вход, для летнего отдыха нормально, а зимой в одежде будет не совсем удобно, на моделях без москитки более походящиий для зимы вариант","Быстро раскладывается, есть москитная сетка для лета. Высоты палатки достаточно, чтобы во время рыбалки сидеть на рыбацком ящике (высота 40 см). Быстрая обработка заявки и доставка. Спасибо."
5,"палатку знаем и используем и летом и зимой, так что ввертыши - подарок по делу",,беру на подарок... а когда то меня убедил видеообзор от розетки https://www.youtube.com/watch?v=yBEIE4YjOyQ
5,несколько необычное применение,,"дело в том что муж использует такую только без сетки ужее несколько сезонов . Как рыбак он доволен и мы тоже. В этот раз брали на подарок другу , но оставим себе. Была вылазка в парк и вы не представляте как эту палатку окупировали дети . С горячим чаем посреди снега ... Думаю что она просто уникальна и для зимы и для лета и даже для игр посреди комнаты. Кстати настолько приятный оттенок и под солнцем внутри просто настроение повышается."
2,"Автоматическая, быстро раскладывается-складывается.",Качество пошива. Затруднен вход в палатку из-за малого разреза.,"Не рекомендую. Качество швов никакое, разлазятся на глазах. Вход в палатку затруднен из-за малого разреза, приходится извиваться как уж. Окошко для проветривания открывается только снаружи.Единственный плюс этой палатки это то что она быстро раскладывается и складывается."
2,размер,"узкий вход, отсутствие москитной сетки",Не рекомендую !!!
5,,,Когда появится в наличии???
3,Быстрая сборка,"Большие габариты в сложенном виде, в комплекте нет колышков","Из описания вовсе не очевидно, как палатка выглядит в сложенном и упакованном виде. А это здоровенная шайба диаметром 60 см и толщиной 5 см. Ни в один рюкзак такое не влезет. На шайбе есть две шлейки, чтобы ее можно было нести на спине как рюкзак, но это хорошо только если спина свободна или если возить в машине. В комплекте нет колышков, в подарок дают ввертыши, которые годятся только для льда.Нужно было смотреть видео-обзор перед покупкой."
5,"простота использования приятный цвет, всесезонность",,собственно говоря вот такой ненапрягающий обзор убедил и действительно палатка просто хороша. Спасибо за быструю доставку.
5,"цена , качество",,"поклонником бренда являюсь давно , палатку действительно ждали - был перерыв в поставке. Спасибо за расширенение линейки. Летом будем использовать однозначно."
1,,,"Очень обидно, но нам испортили праздник, мостим шатер им из подручных средств!!!! Даже не успели собрать верх, как треснула направляющая пластмасса!!!!!! Это же где нужно было хранить или сразу такое качество???? Как вернуть это недоразумение в обмен на мои деньги??"
5,"100% ""зачет""",нет,Чехла нет. Коробка. Ткань водоотталкивающая. Каркас хороший. Монтируется легко. Ничего докупать не надо.
5,нормальный тент,,"спасибо, тент стоит своих денег!"
5,"уже установили во дворе, будем везти с собой и на пляж",,"Удобная , проверенная временем модель"
3,,,"На свои деньги, в наше время нормальный тент"
5,хороший подарок,,Взяли на подарок по одной причине: муж использует ее и как летнюю так и для зимней рыбалки. очень быстро раскладывается и удобна для переноски.
5,,,"Как раз холодает. Надо успеть купить. Потому как непонятно, что с погодой. Может ещё и успею на зимнюю рыбалку сходить. Но от ветра точно спасёт"
5,понравилась,,"уж не знаю, что больше понравилось видеудочка Ranger или палатка но приятно когда от подарка в реальном восхищении. доставка своевременная - что было очень важно."
5,под погоду,,"мой друг детскую дороже брал а тут 3 в одном зима, лето и вигвам для малышни"
5,без нее теперь не обойдешься.,,"взял, как раз под погоду .. теперь при устоявшемся льде и периодических осадках без нее как без рук"
5,Хороший бюджетный вариант .,не найдено,Понравилось обслуживание . Палаткой ОЧЕНЬ доволен . Качество соответствует цене ...
5,"Палатка отпад, качество хорошее, не промокает, плотная и т.д.как в описании.",Не найдено.,"Брала дедушки, очень доволен. На зимней рыбалке, то что надо! Держится уже больше 1,5 года."
5,всесезонка,,и зимой и летом. суперэконом вариант
5,хорошая,логистика оставляет желать лучшего,"наконец то . Слава богу она всесезонная. т.е послужит и летом. А сейчас буду надеяться , что в этот раз хватит. Последний раз они были распроданы ажно в сентябре."
5,хорошая всесезонка,,"тем более я без зимней рыбалки не могу. Вешь удобная , проверенная - может действительно можно и антимоскитную сетку для летнего периода ,когда палатку вся семья использует. Спасибо за видеобзоры. я в принципе знал , что палатка довольно давно проверена рынком, но более 70 тыс действительно впечатлило..."
5,,,"Это не первая моя такая палатка, так что могу поделиться опытом . Вторая служит уже долго если надо укрепляю. Использую и летом и зимой. И понимаю что палаточка очень приличная . Вижу много посмотрело обзор. Хочу сказать, что зимой на рыбалке она просто незаменима. Здоровье дороже"
5,,можно было бы и антимоскитную сеточку предусмотреть. Не собираетесь ?,реально использовали летом. удобно. надеюсь и зимой пригодится
5,на все сезоны,,"Брали с дальним прицелом на зимнюю рыбалку, пока очень удачно используем на отдыхе как летнюю."
4,Быстро разворачивается и легко переносится.,Швы смущают. Попаду под дождь - точнее узнаю. Ну просто очень плохое видео и инструкция по сборке.,Поставьте лучше это видео по сборке - https://www.youtube.com/watch?v=c87Shw0htfI
5,,,"Палатка классная. Мы с друзьями ходили на рыбалку и использовали её для сна (втроем в ней спали), разместились отлично. Всем рекомендую!"
5,всесезонность!,,1. Палатка показала свою комфортность как при морозах так и влажном ветре 100 процентов буду брать на летнюю рыбалку2. хорошие эксплутационные свойства3. как игровая для детей просто непревзойденна
5,,,"Ходил на зимнюю рыбалку, но когда потеплело решил воспользоваться ей и как всесезонной. Сходили с ребятами в лес. Очень удобная, ветер не задувает, тепло. Спасибо большое"
5,довольно хорошая защита в условиях влаги,,"мне ревизия швов пока не понадобилась. Лямки чуть укрепил. Вдруг обратно придется влажную нести, спасибо за совет. Палатка пригодилась, ощущение от товара хорошее. Раскладка быстрая и оригинальная."
5,"Комактность, лёгкость",,"Палатка удобная. Несмотря на потепление, ходили с друзьями на рыбалку. К нас мелкая речушка, лёд ещё позволяет. В целом палаткой остался доволен. Спасибо большое!"
5,,Не обнаружил,Палаткой пользуюсь уже пару месяцев. всё нравится
5,,,"собственно говоря чуток замешкался и попал под заносы , новая пошта чуток задержка. Хочется сказать после опробования на льду, как то она настроение приподнимает когда свет через ткань. . Вообще зимняя рыбалка это романтика . Думая сейчас с защитой от непогоды еще приятнее.Разборка 3 секунды , сборка меньше минуты. крепление конечно не зингер но сейчас и такое недешево . Носить вроде тоже удобно. Хорошая вешь да еще буквально 2 минуты потратил на укрепление шва только в одном месте"
5,отличная,чуток швы,"такие колебания погоды показали что рыбалка без палатки - несколько рискованное мероприятие. Тем более ценовая категория вполне приемлемая. Относительно качества - не мерседес , но опель.Ткань нормальная , но тоже обнарузжил см плохого шва. Но пока не укрепляю. Остальное вполне в норме. Акция с креплениями то что надо. Доставка ок."
5,При дожде без нее точно не обойдешься.,кое где укреплю позже шов,"Долго колебался по поводу нужности приобретения, но прогноз погоды показывает, что решение принято правильно. Действительно при осадках такое хорошее азартное дело уже Не приносит радости. Относительнро девайса. Нормальная палатка с хорошими ТТХ. К материалу действиетльно претензий нет. Мелочи устраняются на месте. Можно и укрепить , кому как надо. Я лично пока ничего не подшивал. Сборка, разборка соответствуюет описанию. Доставка на удивление была не такой длинной ."
5,,,У меня нареканий на палтку нет. Качество нормальное. И модель удобная За эти деньги как раз соответствует
5,,,Неожиданно просторная)
5,,,"Купили такую палатку в прошлом году. Очень доволен. Качество отличное, в эксплуатации тоже нет никаких замечаний. Рекомендую"
4,неплохая,,"Внимательно поразмыслив и посмотрев прогноз погоды, все же буду брать зонтичную. Акция с ввертышами своевременна"
5,НЕ ТОЛЬКО ЗАЩИТА,-,УДОБНАЯ ШТУКА особо + за крепления
5,С учетом опыта рыбалки при мокром снеге - вещь просто необходимая,-,"Понравился термин (где -то увидел перезаморозка) С учетом идущих новых морозов - палатка это то что дало ощущение стабильности и защищенности. А еще если солнышко просвечивает ткань.... Лепота..Конструкция проверенная , действительно ребра жескости в порядке. Сборка и разборка моментальная, переносить удобно. Вроде все в порядке."
5,Вешь нужная и практичная,время покаже,понравился обстоятельный разбор от 10 января Полностью согласен . Вешь нужная и полезная. Мне повезло- со швами все в порядке. Успел под акцию с креплением. Успел под идущие холода. Пока все устроило.
4,"удобство переноски, отстегивающаяся лунка, хороший цвет, аккуратность исполнения, удачная акция с креплениями",возможно возникнут в процессе эксплуатации,достаточно приличная вещь за свою цену
4,очень хороший подарок,-,судя по реакции нашего друга рыбака
5,компактность,постоянно раскупают,"Хочу купить, наслышана о ней , но постоянно опаздываю и все раскупают. Затарьтесь побольшееееее"
5,компактность,,"Покупал для себя еще давно. Очень понравилась компактность и легкость, совершенно не обременяет, удобно брать с собой, удобно раскрывать и собирать обратно. Решил купить еще одну, потому что дети забрали себе и не отдают). Рекомендую всем!!!! Я ни минуту не пожалел!!!!"
5,легкая и прочная,пока со швами всё в порядке,Удобная в пользовнии
5,Хороший пример качественной продукции,нет,Брал сие на подарок. Подарок под елку получится неплохой. Продукцию бренда знаю и надеюсь на хорошее качество. Складывается и раскладывается быстро. Цветовая гамма несет позитивчик. . С наступающим и спасибо за быструю доставку.
5,,,Похолодало. Пора брать.
4,подарок удался,нет,спасибо за доставку. Все соответствует. Подарку очень обрадовались.
4,,,"Пришлось купить эту палатку, чтобы брат не мерз на своей рыбалке. Если честно, ожидал худшего, но качество тут нормально и главное брат поместится в этой конуре."
5,,,"О, спасибо, что учли пожелания!! Жёлтый цвет лучше и как-то веселее"
5,дополнительные крепления,,Отличная цена для такого качество
5,"очень удобная в эксплуатации, занимает мало места",предпочитаю желто-белый цвет,Конечно главный критерий дешевизна. Решил не тратить много и пока отказался от зонтичного ranger
5,"надійна, дешева",,"Гарний вибір для невибагливого рибалки. Навіть якщо зламається або хто вкраде, то можна завжди піти та купити нову, адже коштує небагато."
5,качество и экономия,,"Понравился комплект с ножем. Обе позиции известны по качеству. плюс подарок. Взял, доставили нормально"
5,брал в комлекте с учетом акции,,Хорошая экономия палатка в комплекте термосом. Оба изделия хорошего качества.
5,,,Видел такую у знакомых. Купил себе. остался очень довольным. Доставляют быстро. Описание соответствует товару.
5,зручний в використанні,не знайшли,Намет дуже якісний. Брали на подарунок. Доставили вчасно. Дуже вдячні
5,,,"Я правильно понимаю, если сейчас закажу акция действительна . Плачу ведь при получении..."
5,Мне было важно чтобы мой подарок понравился,,"Результат достигнут, спасибо за быструю доставку"
5,нормально для нашего края,да вроде никто не жаловался,"Видел раньше у друзей, собирался брать спасибо вовремя акция с креплениями. Подскажите инструкция по сборке в комплекте?"
5,,,Cпасибо. Все равно без альтернативы . По этим деньгам лучше не купишь. Хотя более дорогая зонтивая тоже ничего.
5,"пока не знаю, еще не дарила но спасибо доставили быстро",кто его знает,"мне понравилось в отзывах 3 в одном : для меня вигвам для детей, а для рыбака зимняя и одновременно всесезонная."
4,"в палатках не понимаю, но отзывы верные",,Взяла на подарок. Подарок понравился
5,основное удобство и легкость сборки,не вижу,"взял, доволен. В этот сезон не буду мерзнуть под ветром."
5,"легка, красива, удобна во всех отношениях",желто-белая мне по душе больше,согласен с тем что пока это лучшее для нашего региона
5,,,"Брали, как всесезонную палатку. Летом использовали на пляже, как детскую. Сейчас разложили на даче на 2 этаже. Ребятишки довольны, считают за свой домик"
5,быстро раскладывается,,"для меня главное, что не долбался с её разборкой. Очень доволен"
5,Легкость удобность наличие крепежа,нет,Проверенная модель известная на рынке несколько лет за эти деньги пока лучшее
5,,,Палатка действительно великолепная. Купил её несколько лет назад. Качеством доволен. Рекомендую всем.
5,"легко расбирается, легко собирается",,"Покупал еще на прошлый сезон для рыбалки. Посмотрел несколько вариантов. Выбрал именно Ranger, так как подошли светлые цвета, которые пропускают солнце, да и бренд неплохо себя зарекомендовал по другим товарам."
5,"Прекрасная палаточка , мой ребенок в восторге!!! и муж доволен!!!",не вижу,"Очень довольна покупкой. Покупали для супруга, но ребенок тоже доволен, летом эта палатка принадлежала только ему))). Муж планирует воспользоваться ею при первой же возможности!!!!"
5,,,"Купил,заменил и все в порядке."
4,отсутствие недостатков,нет,"брал для палатки sol wonder 2. оказались на 5мм длинее (каждая), что в принцепе не есть проблемой. в случае крайней необходимости можно подрезать ножевкой по металлу. за год эксплуатации (раз 5 собирали палатку) деформаций и повреждений нет. вобщем доволен."
5,,,претензий нет
5,"Хорошие, качественные дуги за свою цену.",Нет.,Покупкой доволен
5,быстро,-,я доволен
4,"Нужную длину отрезал без проблем, диаметр совпал в соответствии с информацией производителя (7.9мм)","Металлическая часть отвалилась от дуги (была плохо приклеена), но данный дефект быстро устранился =)","Очень сложно найти прочную дугу за небольшие деньги. По этому нужно сказать спасибо Розетке за то, что занимаются даже такими мелочами!"
4,"Одно достоинство, что можно не покупать всю палатку, а только заменить сломанную дугу.","Толщина материала дуги очень маленькое, раньше получше было","В целом товар соответствует цене, но не по качеству."
4,"Достойное качество стеклопластика, крепко посаженая обойма","Изначально показалась жестче, чем хотелось бы","Крепкая вещь, плотный стеклопластик. За счет этого отдельный сегмент гнется совсем уж с трудом, но, когда собрана вся дуга, принимает нужный изгиб без лишних усилий. Заявленные в характеристиках 52 см длины на деле оказались 54 см, но это скорее плюс, чем минус. Отрезать всегда можно."
5,"Саме те, що треба.",На 5 см довші від моїх. Довелося вкоротити.,"Дякую, саме встиг до походу замінити."
4,,,нормальные дуги для своей цены
5,,,Хорошие дуги!
4,довжина,поки не виявив,"Використав для ремонту дуги арки тамбуру намету ""Кемпінг Лайт 2"". ""Террівська"" не підходила за довжиною, була короткувата. Виручила ця. Виявилася навіть задовгою, проблему було вирішено за допомогою звичайного лобзика і плоского надфіля. Відремонтована дуга пройшла випробування Чорногірським хребтом, тиждень щодня намет ставився і складався. Сегмент не тріснув і не прогнувся. У мене все."
5,,,Нормальні дуги.
4,,длина маловата стандарту,"на практике еще не опробывали,но по виду не отличается от других."
2,удобный,не качественный,"уставливается легко, но в первый же день порвались кольца для центральных стоек, середина тента прогибается, цена завышена для такого качества...."
5,"Отправлено, получено в короткие сроки. Сезон отходили отлично.",Не выявлены,"Время покажет, насколько их хватит"
5,,,Нормальні дуги.
5,Качество хорошее. Всё как в описании.,нет,"Продается по одной штуке. Набираете столько, сколько сломанных нужно заменить. Заказал себе четыре центральных звена. Заменил сломанные. Доставка быстрая. Всем доволен. Рекомендую. Если кому-то нужны крайние звенья, отличающиеся от центральных - уточняйте при покупке у продавца."
4,,,"Нормальный тент, для вылазок на пикник сойдет, а если хотите для более екстримальных условий - прийдется доделывать, или покупать более стойкие.Кант прострочен швом на подогнутой основной ткани, не спец лентой, хотя крепежи для оттяжек усилены. В комплекте есть мини колышки и 3.5 метровые оттяжки. Очень компактный. Сразу брал в комплект пару стоек Terra Incognita."
5,малый вес и компактность,цепляние за верёвки,"Сколько пользуюсь - всегда выручает, а москитная сетка просто бомба"
5,"Легкая, непромокаемая, компактная","Нет стоек (очень сомнительно, что это минус)Плохая вентиляцияМало места внутри","Купил отдельно 5 секций фиберглассовых дуг палатке, одну распилил напополам - вышли отличные легкие компактные стойки"
5,"Легкая, удобная, занимает мало места, установка быстрая, не промокает, ветроустойчивая",внутри собирается испарина,"крым карпаты с ней ходил - хорошо себя показала, под затяжные дожди правда не попадал, покупкой доволен"
5,"За свої гроші - краща палатка. Легка, напрочуд тепла. Я задоволений покупкою.","Конденсат, навіть за одну ніч. Немає палиць в комплекті - але може це і плюс, бо так легша палатка.",В загальному задоволений.
5,"Ціна, вага, зручність",За таку ціну- жодних,"Палаткою задоволений. Іноді скаржаться на конденсат, але для одношарової палатки це нормально. 36 годин карпатської негоди(сильний вітер, злива) витримала без жодних проблем. Для однієї людини з рюкзаком в палатці дуже комфортно і залишається багато місця. Ставиться на трекінгові палиці без проблем."
4,легкая,нет стоек и вес больше заявленного на 350 грамм,"палатка прикольная, только к ней стоек в комплекте нет, стандартные сочленения от других палаток подходят, но нужно их обрезать (точно рассчитайте длину, но желательно не превышать 43 см иначе в чехол не влезут)! для специальных экстрим-походов не рекомендую, а для остальных - супер!"
4,,"Тримає невеликий дощ, при сильному без клейонки протікає за годину.Двом тіснувато +конденсат, якщо повністю закрити вхід (залишаю 30 см для кращої циркуляції)","Палатка найкраще підходить для соло, коли наплічник важить 6-7кг і рахуєш все: від кілокалорій до лишніх грам. Однозначно вартує своїх грошей."
5,,,спасибо все супер и качество супер
4,На вид хорошие,бывает с браком,Доставили быстро. Но из 6шт. одна была треснута
5,,,А цена за комплект или за одну??
5,,,"Все отлично, все подошло."
5,,,ідеально підійшло
5,,Немає наконечників на тому місця де потрібно з'єднювати дугу з палаткою.,"Найоптимальніший варіант для ремонту старих дуг, чи їх заміни."
5,,,"Спасибо,очень быстро"
5,Прочный,Нет,Несколько лет искал.
5,,,Рекомендую! Палатка отличная.
5,,,Клас)))
5,Очень удобно,Ноги на бампере получается,"Палатка крутая, давно искали такую. Плюс раскладушку можно поставить."
5,Форма и материал.,Нет,"Хорошие колыши, добротные и качествинные."
4,хорошо фиксируются,болезненно запихиваются в песок),"брал для палатки https://rozetka.com.ua/sol_tourist_slt_004_06/p213704/Часто разбиваю ее на песке, в месте с сильным прерывистым ветром. Ясно, оригинальные шпильки не выдерживали, взял им в помощь эти колышки. С ними палатка хорошо стояла, на четырех растяжках выдержала штормовой ветер (конечно, периодически колышки приходилось подтягивать заново). Единственно что -- у колышков нет плоской шапки, приходилось вдавливать их в песок, упираясь ладошкой прямиком в их Y образный хвост. Местами было неприятненько))"
5,"Все, дизайн, прочность",Нет,"Все прекрасно.. НО не подходят к палатке tramp scout 3.. Они просто шире, не влазят. Будьте осторожны!)"
5,Хорошее изделие,,"не плохо бы к ним в комплект мешочек с завязочкой, для хранения и транспортировки было-бы удобнее."
5,,,будет ли еще этот товар в наличии?? ели да то когда ?
4,Достаточно удобный и крепкий. Выдержал шторм на Арабатке 29 июля.,"Прилично выгорел за две недели на солнце. Неудачно вшита оборка возле змейки. Даже при правильной установке и растяжке тента постоянно закусывает змейку. Кармашки внутри декоративные, из них все вываливается.",Нормальный тент.
4,"Великий тамбур з прозорим вікном.Висока, неважко збирати. Не промокає, ""дихає"", антимоскітні сітки в ""дверях,вікнах"".","При послідній зборці розслоївся один сегмент фібергласового каркасу,замотав ізолентою. Виробники (продавці)? не можуть визначитись з місткістю 3 чи 4 людини. Якщо з надувним матрасом то двоє + дитина. Вхід у внутрішню палатку збоку від спальних місць, приходиться перелазити через сплячих! Це реально обмежує місткість навіть без матраса.","Моя перша сучасна палатка, порівнювати нема з чим-радянські ""рядом не стояли"".Купував не тут. Користуюсь 3 роки,1-2 раза на сезон. Коли перший раз склав, захвату не було меж! Вона здоровенна! Здоровенна- це висока, в середині не потрібно нагинатись. Конструктивно це тент на зовнішному каркасі, до якого з середини підвішена на швидкознімальних кліпсах внутрішня, (дихаюча) палатка. Збираю сам, неважко, не довго. В середині надуваю двохспальний матрас і комфорт забезпечено! В тамбурі на випадок дощу поміщається круглий пластиковий стіл, два пластикові крісла, дрова,рюкзаки... ВСЕ! І ще, ВЕЛИКЕ ПЛАСТИКОВЕ ВІКНО!"
